"commission_id","employee_id","sale_id","commission_amount","created_at"
111,4,120,19.90,2025-11-28 18:12:26.594
112,5,121,17.48,2025-11-28 18:12:26.594
113,2,122,16.90,2025-11-28 18:12:26.594
114,2,123,87.38,2025-11-28 18:12:26.594
115,4,124,62.25,2025-11-28 18:12:26.594
116,2,125,69.90,2025-11-28 18:12:26.594
117,6,126,179.85,2025-11-28 18:12:26.594
118,4,127,120.00,2025-11-28 18:12:26.594
119,3,128,239.80,2025-11-28 18:12:26.594
120,2,129,24.88,2025-11-28 18:12:26.594
121,6,130,119.90,2025-11-28 18:12:26.594
122,3,131,200.00,2025-11-28 18:12:26.594
123,5,132,179.85,2025-11-28 18:12:26.594
124,4,133,25.35,2025-11-28 18:12:26.594
125,4,134,39.95,2025-11-28 18:12:26.594
126,6,135,37.35,2025-11-28 18:12:26.594
127,6,136,80.00,2025-11-28 18:12:26.594
128,2,137,49.80,2025-11-28 18:12:26.594
129,3,138,120.00,2025-11-28 18:12:26.594
130,5,139,180.00,2025-11-28 18:12:26.594
131,5,140,120.00,2025-11-28 18:12:26.594
132,3,141,44.95,2025-11-28 18:12:26.594
133,4,142,159.80,2025-11-28 18:12:26.594
134,5,143,144.75,2025-11-28 18:12:26.594
135,4,144,49.88,2025-11-28 18:12:26.594
136,2,145,179.85,2025-11-28 18:12:26.594
137,2,146,19.95,2025-11-28 18:12:26.594
138,5,147,79.90,2025-11-28 18:12:26.594
139,2,148,32.48,2025-11-28 18:12:26.594
140,4,149,19.95,2025-11-28 18:12:26.594
141,5,150,200.00,2025-11-28 18:12:26.594
142,4,151,159.80,2025-11-28 18:12:26.594
143,6,152,160.00,2025-11-28 18:12:26.594
144,5,153,87.38,2025-11-28 18:12:26.594
145,3,154,300.00,2025-11-28 18:12:26.594
146,4,155,9.98,2025-11-28 18:12:26.594
147,6,156,199.75,2025-11-28 18:12:26.594
148,6,157,80.00,2025-11-28 18:12:26.594
149,3,158,44.95,2025-11-28 18:12:26.594
150,6,159,52.43,2025-11-28 18:12:26.594
151,4,160,59.95,2025-11-28 18:12:26.594
152,3,161,180.00,2025-11-28 18:12:26.594
153,2,162,28.95,2025-11-28 18:12:26.594
154,5,163,24.90,2025-11-28 18:12:26.594
155,6,164,37.35,2025-11-28 18:12:26.594
156,4,165,49.88,2025-11-28 18:12:26.594
157,2,166,14.93,2025-11-28 18:12:26.594
158,4,167,89.90,2025-11-28 18:12:26.594
159,2,168,6.50,2025-11-28 18:12:26.594
160,3,169,179.80,2025-11-28 18:12:26.594
161,3,170,33.80,2025-11-28 18:12:26.594
162,3,171,199.75,2025-11-28 18:12:26.594
163,4,172,224.75,2025-11-28 18:12:26.594
164,5,173,199.75,2025-11-28 18:12:26.594
165,4,174,33.80,2025-11-28 18:12:26.594
166,6,175,89.90,2025-11-28 18:12:26.594
167,5,176,89.90,2025-11-28 18:12:26.594
168,5,177,224.88,2025-11-28 18:12:26.594
169,3,178,24.90,2025-11-28 18:12:26.594
170,6,179,19.95,2025-11-28 18:12:26.594
171,3,180,69.90,2025-11-28 18:12:26.594
172,6,181,120.00,2025-11-28 18:12:26.594
173,3,182,9.98,2025-11-28 18:12:26.594
174,4,183,39.95,2025-11-28 18:12:26.594
175,6,184,179.80,2025-11-28 18:12:26.594
176,4,185,19.90,2025-11-28 18:12:26.594
177,3,186,17.48,2025-11-28 18:12:26.594
178,3,187,119.85,2025-11-28 18:12:26.594
179,6,188,14.93,2025-11-28 18:12:26.594
180,2,189,42.25,2025-11-28 18:12:26.594
181,2,190,19.95,2025-11-28 18:12:26.594
182,4,191,119.85,2025-11-28 18:12:26.594
183,5,192,299.75,2025-11-28 18:12:26.594
184,6,193,89.90,2025-11-28 18:12:26.594
185,5,194,89.90,2025-11-28 18:12:26.594
186,6,195,119.90,2025-11-28 18:12:26.594
187,3,196,86.85,2025-11-28 18:12:26.594
188,2,197,34.95,2025-11-28 18:12:26.594
189,3,198,19.90,2025-11-28 18:12:26.594
190,6,199,34.95,2025-11-28 18:12:26.594
191,4,200,33.80,2025-11-28 18:12:26.594
192,5,201,179.80,2025-11-28 18:12:26.594
193,3,202,29.93,2025-11-28 18:12:26.594
194,2,203,9.95,2025-11-28 18:12:26.594
195,4,204,28.95,2025-11-28 18:12:26.594
196,4,205,120.00,2025-11-28 18:12:26.594
197,4,206,239.80,2025-11-28 18:12:26.594
198,5,207,9.98,2025-11-28 18:12:26.594
199,2,208,179.85,2025-11-28 18:12:26.594
200,2,209,87.38,2025-11-28 18:12:26.594
